C104702	HGNC:7531
C104705	HGNC:1460
C104708	HGNC:9816
C104711	HGNC:9817
C104714	HGNC:16369
C104717	HGNC:272
C104719	HGNC:17609
C104723	HGNC:20992
C104726	HGNC:10387
C104729	HGNC:21199
C104735	HGNC:28611
C104739	HGNC:8777
C104749	HGNC:8801
C104752	HGNC:10025
C104755	HGNC:10289
C104758	HGNC:8809
C104760	HGNC:10304
C104764	HGNC:10430
C104767	HGNC:30287
C104770	HGNC:17296
C104773	HGNC:3169
C104776	HGNC:3167
C104779	HGNC:3170
C104782	HGNC:14299
C104785	HGNC:29602
C104789	HGNC:8877
C104792	HGNC:8962
C104795	HGNC:2752
C104798	HGNC:8987
C104801	HGNC:9404
C104804	HGNC:25209
C104807	HGNC:30100
C104810	HGNC:9748
C104814	HGNC:9785
C104817	HGNC:9803
C104821	HGNC:9065
C104827	HGNC:578
C104830	HGNC:1461
C104833	HGNC:1463
C104836	HGNC:1726
C104839	HGNC:22048
C104842	HGNC:7746
C104843	HGNC:579
C104848	HGNC:580
C104851	HGNC:924
C104854	HGNC:11171
C104857	HGNC:6563
C104860	HGNC:11837
C104863	HGNC:343
C104865	HGNC:23060
C104869	HGNC:1047
C104874	HGNC:20581
C104878	HGNC:23799
C104881	HGNC:1048
C104885	HGNC:1912
C104889	HGNC:1090
C104893	HGNC:3120
C104895	HGNC:24288
C104899	HGNC:24929
C104903	HGNC:30653
C104909	HGNC:17852
C104913	HGNC:3793
C104920	HGNC:7432
C104924	HGNC:2339
C104928	HGNC:1536
C104936	HGNC:2361
C104943	HGNC:7434
C104946	HGNC:7468
C104950	HGNC:2364
C104953	HGNC:8754
C104955	HGNC:6595
C104959	HGNC:16762
C104962	HGNC:589
C104965	HGNC:8830
C104968	HGNC:10850
C104971	HGNC:9030
C104974	HGNC:4626
C104977	HGNC:2336
C104980	HGNC:19083
C104995	HGNC:18384
C104998	HGNC:10659
C105001	HGNC:10777
C105004	HGNC:10779
C105007	HGNC:10717
C105010	HGNC:8941
C105013	HGNC:10762
C105016	HGNC:29799
C105019	HGNC:11120
C105022	HGNC:11121
C105024	HGNC:28395
C105028	HGNC:10817
C105029	HGNC:14240
C105035	HGNC:32949
C105037	HGNC:17720
C105043	HGNC:19953
C105055	HGNC:21392
C105058	HGNC:10942
C105061	HGNC:11003
C105064	HGNC:11027
C105067	HGNC:11029
C105070	HGNC:10935
C105073	HGNC:10963
C105076	HGNC:13771
C105079	HGNC:11191
C105082	HGNC:15533
C105085	HGNC:11289
C105088	HGNC:20392
C105091	HGNC:11608
C105094	HGNC:18884
C105097	HGNC:15934
C105100	HGNC:11875
C105105	HGNC:14158
C105108	HGNC:12031
C105111	HGNC:11924
C105114	HGNC:17822
C105117	HGNC:18752
C105120	HGNC:11894
C105123	HGNC:3287
C105126	HGNC:7473
C105148	HGNC:5212
C105152	HGNC:23316
C105155	HGNC:5218
C105158	HGNC:11284
C105161	HGNC:25812
C105371	HGNC:32119
C105374	HGNC:7808
C105376	HGNC:537
C105379	HGNC:1241
C105382	HGNC:8601
C105385	HGNC:11347
C105386	HGNC:12513
C105389	HGNC:8947
C105393	HGNC:1581
C105397	HGNC:7399
C105404	HGNC:7956
C105408	HGNC:7957
C105411	HGNC:7958
C105414	HGNC:10487
C105417	HGNC:384
C105420	HGNC:12546
C105423	HGNC:12547
C105426	HGNC:385
C105429	HGNC:10962
C105432	HGNC:5108
C105435	HGNC:5115
