Source,Source Name,Source Code,Type,Rank,Target Name,Target Code,Target Terminology,Target Terminology Version
"NCI_Thesaurus","ADA2 Gene","C173459","mapsTo","1","ADA2","HGNC:1839","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAM10 Gene","C91858","mapsTo","1","ADAM10","HGNC:188","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAM11 Gene","C20792","mapsTo","1","ADAM11","HGNC:189","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAM12 Gene","C96034","mapsTo","1","ADAM12","HGNC:190","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAM15 Gene","C26544","mapsTo","1","ADAM15","HGNC:193","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAM17 Gene","C48217","mapsTo","1","ADAM17","HGNC:195","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAM19 Gene","C114511","mapsTo","1","ADAM19","HGNC:197","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAM33 Gene","C185020","mapsTo","1","ADAM33","HGNC:15478","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAM8 Gene","C90314","mapsTo","1","ADAM8","HGNC:215","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAM9 Gene","C179210","mapsTo","1","ADAM9","HGNC:216","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAMTS1 Gene","C21276","mapsTo","1","ADAMTS1","HGNC:217","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAMTS10 Gene","C190634","mapsTo","1","ADAMTS10","HGNC:13201","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAMTS13 Gene","C118325","mapsTo","1","ADAMTS13","HGNC:1366","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAMTS17 Gene","C191866","mapsTo","1","ADAMTS17","HGNC:17109","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAMTS2 Gene","C192020","mapsTo","1","ADAMTS2","HGNC:218","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAMTS20 Gene","C150165","mapsTo","1","ADAMTS20","HGNC:17178","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAMTS9 Gene","C21278","mapsTo","1","ADAMTS9","HGNC:13202","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAR Gene","C157283","mapsTo","1","ADAR","HGNC:225","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADAT3 Gene","C191897","mapsTo","1","ADAT3","HGNC:25151","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADCY9 Gene","C21283","mapsTo","1","ADCY9","HGNC:240","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADD3 Gene","C80077","mapsTo","1","ADD3","HGNC:245","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRA2 Gene","C150239","mapsTo","1","ADGRA2","HGNC:17849","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRB1 Gene","C24254","mapsTo","1","ADGRB1","HGNC:943","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRB2 Gene","C24255","mapsTo","1","ADGRB2","HGNC:944","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRB3 Gene","C24256","mapsTo","1","ADGRB3","HGNC:945","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRE1 Gene","C126950","mapsTo","1","ADGRE1","HGNC:3336","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRE2 Gene","C200346","mapsTo","1","ADGRE2","HGNC:3337","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRE5 Gene","C24279","mapsTo","1","ADGRE5","HGNC:1711","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRF1 Gene","C113543","mapsTo","1","ADGRF1","HGNC:18990","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRG1 Gene","C99657","mapsTo","1","ADGRG1","HGNC:4512","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRG6 Gene","C153050","mapsTo","1","ADGRG6","HGNC:13841","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADGRL3 Gene","C150273","mapsTo","1","ADGRL3","HGNC:20974","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADH1C Gene","C111822","mapsTo","1","ADH1C","HGNC:251","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADH4 Gene","C111829","mapsTo","1","ADH4","HGNC:252","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADIPOQ Gene","C94784","mapsTo","1","ADIPOQ","HGNC:13633","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADIPOR1 Gene","C103973","mapsTo","1","ADIPOR1","HGNC:24040","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADIPOR2 Gene","C103976","mapsTo","1","ADIPOR2","HGNC:24041","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADM Gene","C113264","mapsTo","1","ADM","HGNC:259","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADNP Gene","C190673","mapsTo","1","ADNP","HGNC:15766","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADORA1 Gene","C38609","mapsTo","1","ADORA1","HGNC:262","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADORA2A Gene","C38611","mapsTo","1","ADORA2A","HGNC:263","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
