"Source Code","Source Name","Source Coding Scheme","Source Coding Scheme Version","Source Coding Scheme Namespace","Association","REL","Map Rank","Target Code","Target Name","Target Coding Scheme","Target Coding Scheme Version","Target Coding Scheme Namespace"
"C75613","JAG1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6188","JAG1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C84307","JAG2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6189","JAG2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C176527","JAGN1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:26926","JAGN1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C24528","JAK1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6190","JAK1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C24529","JAK2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6192","JAK2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C24530","JAK3 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6193","JAK3","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C200399","JARID2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:6196","JARID2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C73542","JAZF1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:28917","JAZF1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C113522","JCHAIN Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:5713","JCHAIN","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C185838","JMY Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:28916","JMY","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C201856","JPH2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:14202","JPH2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C114589","JPT1 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:14569","JPT1","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
"C189936","JPT2 Gene","NCI_Thesaurus","23.11d","NCI_Thesaurus","mapsTo","mapsTo","1","HGNC:14137","JPT2","HGNC:_HUGO_Gene_Nomenclature_Committee","202311","HGNC"
